date,is_crisis,crisis_severity
2016-01-01,0,0.25
2016-01-31,0,1.87
2016-03-01,0,1.67
2016-03-31,0,1.22
2016-04-30,0,0.38
2016-05-30,0,0.27
2016-06-29,0,1.76
2016-07-29,0,1.38
2016-08-28,0,1.37
2016-09-27,0,1.39
2016-10-27,0,1.42
2016-11-26,0,1.22
2016-12-26,0,1.18
2017-01-25,0,0.66
2017-02-24,0,0.92
2017-03-26,0,0.16
2017-04-25,0,1.51
2017-05-25,0,1.64
2017-06-24,0,0.28
2017-07-24,0,0.17
2017-08-23,0,0.54
2017-09-22,0,0.9
2017-10-22,0,0.26
2017-11-21,0,1.44
2017-12-21,0,0.69
2018-01-20,1,6.75
2018-02-19,1,7.35
2018-03-21,1,7.95
2018-04-20,1,8.55
2018-05-20,1,9.15
2018-06-19,1,9.75
2018-07-19,1,9.65
2018-08-18,1,9.05
2018-09-17,1,8.45
2018-10-17,1,7.85
2018-11-16,1,7.25
2018-12-16,1,6.65
2019-01-15,0,0.95
2019-02-14,0,0.68
2019-03-16,0,1.08
2019-04-15,0,1.35
2019-05-15,0,1.12
2019-06-14,0,0.44
2019-07-14,0,0.48
2019-08-13,0,0.23
2019-09-12,0,1.18
2019-10-12,0,0.62
2019-11-11,0,1.38
2019-12-11,0,0.96
2020-01-10,1,5.96
2020-02-09,1,6.71
2020-03-10,1,7.46
2020-04-09,1,7.79
2020-05-09,1,7.04
2020-06-08,1,6.29
2020-07-08,0,1.79
2020-08-07,0,1.68
2020-09-06,0,1.21
2020-10-06,0,0.38
2020-11-05,0,1.95
2020-12-05,0,1.68
2021-01-04,0,1.06
2021-02-03,0,1.11
2021-03-05,0,1.34
2021-04-04,0,0.47
2021-05-04,0,0.13
2021-06-03,0,1.69
2021-07-03,0,1.79
2021-08-02,0,1.96
2021-09-01,0,1.3
2021-10-01,0,1.3
2021-10-31,0,0.42
2021-11-30,0,1.9
2021-12-30,0,0.26
2022-01-29,0,0.42
2022-02-28,0,0.95
2022-03-30,0,1.17
2022-04-29,0,0.12
2022-05-29,0,1.26
2022-06-28,0,0.26
2022-07-28,0,0.79
2022-08-27,0,1.31
2022-09-26,0,0.46
2022-10-26,0,0.2
2022-11-25,0,1.71
2022-12-25,0,1.8
2023-01-24,0,0.63
2023-02-23,0,0.88
2023-03-25,0,1.44
2023-04-24,0,1.53
2023-05-24,0,1.51
2023-06-23,0,0.78
2023-07-23,0,1.33
2023-08-22,0,0.62
2023-09-21,0,0.1
2023-10-21,0,1.88
2023-11-20,0,0.38
2023-12-20,0,1.38
2024-01-19,0,0.28
2024-02-18,0,0.93
2024-03-19,0,0.57
2024-04-18,0,0.88
2024-05-18,0,1.97
2024-06-17,0,1.31
2024-07-17,0,0.91
2024-08-16,0,0.18
2024-09-15,0,1.39
2024-10-15,0,0.22
2024-11-14,0,0.99
2024-12-14,0,1.98
2025-01-13,0,1.7
2025-02-12,0,0.87
2025-03-14,0,1.12
2025-04-13,0,0.17
2025-05-13,0,0.89
2025-06-12,0,0.1
2025-07-12,0,1.87
2025-08-11,0,0.37
2025-09-10,0,0.72
2025-10-10,0,0.83
2025-11-09,0,1.43
2025-12-09,0,1.12
