datetime,from_institution,to_institution,amount,transaction_type
2022-08-27 03:59:00,INST0374,INST0236,3.31,derivative
2022-08-27 09:53:00,INST0194,INST0041,1.95,derivative
2022-08-27 18:12:00,INST0322,INST0317,12.98,collateral
2022-08-27 21:14:00,INST0361,INST0036,65.46,payment
2022-08-27 07:55:00,INST0396,INST0149,1.13,payment
2022-08-27 14:40:00,INST0052,INST0195,17.75,collateral
2022-08-27 11:22:00,INST0428,INST0187,3.01,settlement
2022-08-27 22:59:00,INST0108,INST0344,5.84,collateral
2022-08-27 19:40:00,INST0350,INST0332,48.39,payment
2022-08-27 05:29:00,INST0088,INST0274,6.87,settlement
2022-08-27 07:43:00,INST0195,INST0139,2.7,derivative
2022-08-27 07:52:00,INST0167,INST0432,1.76,payment
2022-08-27 12:17:00,INST0017,INST0413,7.48,collateral
2022-08-27 22:20:00,INST0034,INST0109,45.14,derivative
2022-08-27 12:56:00,INST0109,INST0336,15.37,repo
2022-08-27 04:16:00,INST0469,INST0330,99.79,repo
2022-08-27 17:16:00,INST0072,INST0127,5.23,derivative
2022-08-27 18:25:00,INST0383,INST0300,4.04,repo
2022-08-27 16:31:00,INST0186,INST0113,39.45,settlement
2022-08-27 03:09:00,INST0047,INST0387,98.63,payment
2022-08-27 19:04:00,INST0322,INST0082,1.6,repo
2022-08-27 14:33:00,INST0198,INST0196,48.17,derivative
2022-08-27 00:43:00,INST0129,INST0498,3.68,derivative
2022-08-27 08:49:00,INST0370,INST0059,3.52,derivative
2022-08-27 09:27:00,INST0329,INST0175,109.45,payment
2022-08-27 23:56:00,INST0081,INST0233,4.68,payment
2022-08-27 05:32:00,INST0369,INST0135,10.86,derivative
2022-08-27 20:32:00,INST0468,INST0055,0.48,collateral
2022-08-27 11:48:00,INST0312,INST0102,26.21,settlement
2022-08-27 00:38:00,INST0083,INST0277,2.75,derivative
2022-08-27 03:59:00,INST0166,INST0251,10.91,payment
2022-08-27 07:03:00,INST0186,INST0450,4.86,collateral
2022-08-27 02:05:00,INST0124,INST0450,2.36,derivative
2022-08-27 17:49:00,INST0375,INST0249,5.98,payment
2022-08-27 17:10:00,INST0065,INST0066,4.26,repo
2022-08-27 13:13:00,INST0136,INST0271,95.64,derivative
2022-08-27 22:19:00,INST0476,INST0277,31.93,settlement
2022-08-27 14:57:00,INST0205,INST0344,4.37,collateral
2022-08-27 07:14:00,INST0265,INST0232,14.14,payment
2022-08-27 18:35:00,INST0033,INST0174,0.71,payment
2022-08-27 00:04:00,INST0118,INST0302,11.66,settlement
2022-08-27 07:04:00,INST0363,INST0324,82.17,payment
2022-08-27 02:32:00,INST0464,INST0017,0.85,collateral
2022-08-27 06:34:00,INST0122,INST0143,1.56,repo
2022-08-27 18:30:00,INST0068,INST0371,12.15,derivative
2022-08-27 13:12:00,INST0125,INST0402,11.51,repo
2022-08-27 11:27:00,INST0049,INST0050,1.69,repo
2022-08-27 21:41:00,INST0211,INST0240,6.76,payment
2022-08-27 12:46:00,INST0331,INST0051,32.63,payment
2022-08-27 07:12:00,INST0174,INST0410,11.45,payment
2022-08-27 04:27:00,INST0098,INST0275,14.84,repo
2022-08-27 07:55:00,INST0094,INST0143,41.94,repo
2022-08-27 17:06:00,INST0473,INST0039,1.71,repo
2022-08-27 00:05:00,INST0026,INST0334,1.75,derivative
2022-08-27 05:26:00,INST0475,INST0386,2.81,settlement
2022-08-27 12:57:00,INST0249,INST0247,2.04,settlement
2022-08-27 00:24:00,INST0031,INST0085,13.21,repo
2022-08-27 09:27:00,INST0136,INST0475,282.1,repo
2022-08-27 21:45:00,INST0357,INST0491,1.09,derivative
2022-08-27 09:13:00,INST0250,INST0080,0.18,settlement
2022-08-27 23:34:00,INST0496,INST0030,0.83,derivative
2022-08-27 01:03:00,INST0032,INST0383,15.13,collateral
2022-08-27 16:10:00,INST0300,INST0245,10.13,derivative
2022-08-27 02:54:00,INST0030,INST0492,2.31,derivative
2022-08-27 02:43:00,INST0096,INST0036,3.42,derivative
2022-08-27 03:56:00,INST0442,INST0121,2.41,repo
2022-08-27 19:02:00,INST0292,INST0127,41.78,derivative
2022-08-27 21:37:00,INST0318,INST0042,1.08,repo
2022-08-27 08:13:00,INST0290,INST0268,11.79,collateral
2022-08-27 07:16:00,INST0343,INST0367,6.21,collateral
2022-08-27 14:20:00,INST0203,INST0068,6.15,collateral
2022-08-27 00:29:00,INST0476,INST0385,115.56,payment
2022-08-27 02:34:00,INST0319,INST0289,12.79,payment
2022-08-27 04:59:00,INST0110,INST0260,1.0,collateral
2022-08-27 07:23:00,INST0179,INST0452,187.11,payment
2022-08-27 17:45:00,INST0146,INST0081,59.67,repo
2022-08-27 00:42:00,INST0155,INST0314,12.88,derivative
2022-08-27 21:06:00,INST0419,INST0284,2.75,collateral
2022-08-27 08:07:00,INST0481,INST0450,35.54,settlement
2022-08-27 04:17:00,INST0456,INST0055,0.34,derivative
2022-08-27 22:21:00,INST0145,INST0310,0.22,settlement
2022-08-27 16:31:00,INST0105,INST0352,35.95,collateral
2022-08-27 02:40:00,INST0129,INST0464,5.72,payment
2022-08-27 01:00:00,INST0217,INST0425,8.61,collateral
2022-08-27 20:16:00,INST0171,INST0395,112.72,settlement
2022-08-27 17:45:00,INST0083,INST0380,10.49,repo
2022-08-27 03:04:00,INST0219,INST0288,16.69,payment
2022-08-27 17:02:00,INST0484,INST0453,2.03,settlement
2022-08-27 17:09:00,INST0428,INST0190,65.87,derivative
2022-08-27 09:23:00,INST0221,INST0066,10.26,payment
2022-08-27 11:13:00,INST0461,INST0478,32.61,payment
2022-08-27 11:49:00,INST0350,INST0128,11.17,payment
2022-08-27 19:47:00,INST0287,INST0453,11.94,repo
2022-08-27 05:51:00,INST0080,INST0474,27.17,settlement
2022-08-27 00:11:00,INST0416,INST0091,24.98,repo
2022-08-27 13:51:00,INST0378,INST0474,1.56,collateral
2022-08-27 08:10:00,INST0343,INST0443,9.06,settlement
2022-08-27 12:55:00,INST0404,INST0360,4.3,payment
2022-08-27 07:12:00,INST0020,INST0440,165.5,repo
2022-08-27 11:19:00,INST0419,INST0471,85.44,repo
2022-08-27 07:01:00,INST0421,INST0408,5.7,settlement
